IdCursosSociosPresentes,IdCurso,idSocio,FechaPresente
399,2,3935,2013-09-11 00:00:00
400,2,3919,2013-09-11 00:00:00
401,2,3747,2013-09-11 00:00:00
402,2,3940,2013-09-11 00:00:00
403,2,2741,2013-09-11 00:00:00
404,2,2741,2013-09-11 00:00:00
405,2,2741,2013-09-11 00:00:00
406,2,2741,2013-09-11 00:00:00
407,2,2741,2013-09-11 00:00:00
408,2,2741,2013-09-11 00:00:00
409,2,2741,2013-09-11 00:00:00
410,2,2741,2013-09-11 00:00:00
411,2,2741,2013-09-11 00:00:00
412,2,2741,2013-09-11 00:00:00
413,2,2741,2013-09-11 00:00:00
414,2,2741,2013-09-11 00:00:00
415,2,2741,2013-09-11 00:00:00
416,2,2741,2013-09-11 00:00:00
417,2,2741,2013-09-11 00:00:00
418,2,2741,2013-09-11 00:00:00
419,2,2741,2013-09-11 00:00:00
420,2,2741,2013-09-11 00:00:00
421,2,2741,2013-09-11 00:00:00
422,6,3933,2013-09-12 00:00:00
423,6,3932,2013-09-12 00:00:00
424,6,3062,2013-09-12 00:00:00
425,6,3522,2013-09-12 00:00:00
426,6,3425,2013-09-12 00:00:00
427,6,3073,2013-09-12 00:00:00
428,6,3274,2013-09-12 00:00:00
429,6,3747,2013-09-12 00:00:00
430,6,3520,2013-09-12 00:00:00
431,6,3498,2013-09-12 00:00:00
432,6,3386,2013-09-12 00:00:00
433,6,3298,2013-09-12 00:00:00
434,6,3040,2013-09-12 00:00:00
435,6,2859,2013-09-12 00:00:00
436,6,3750,2013-09-12 00:00:00
437,6,2544,2013-09-12 00:00:00
438,2,3501,2013-09-18 00:00:00
439,2,3501,2013-09-18 00:00:00
440,2,2633,2013-09-18 00:00:00
441,2,3920,2013-09-18 00:00:00
442,2,3921,2013-09-18 00:00:00
443,2,2741,2013-09-18 00:00:00
444,2,3936,2013-09-18 00:00:00
445,2,3935,2013-09-18 00:00:00
446,2,3919,2013-09-18 00:00:00
447,2,3747,2013-09-18 00:00:00
448,1,2978,2013-09-17 00:00:00
449,1,3062,2013-09-17 00:00:00
450,1,3073,2013-09-17 00:00:00
451,1,3836,2013-09-17 00:00:00
452,1,3925,2013-09-17 00:00:00
453,1,3926,2013-09-17 00:00:00
454,4,3286,2013-09-17 00:00:00
455,4,2597,2013-09-17 00:00:00
456,4,3667,2013-09-17 00:00:00
457,4,3529,2013-09-17 00:00:00
458,4,3390,2013-09-17 00:00:00
459,4,3921,2013-09-17 00:00:00
460,4,3936,2013-09-17 00:00:00
461,4,3935,2013-09-17 00:00:00
462,2,3501,2013-09-16 00:00:00
463,2,2633,2013-09-16 00:00:00
464,2,3920,2013-09-16 00:00:00
465,2,3921,2013-09-16 00:00:00
466,2,2741,2013-09-16 00:00:00
467,2,3936,2013-09-16 00:00:00
468,2,3935,2013-09-16 00:00:00
469,2,3919,2013-09-16 00:00:00
470,2,3747,2013-09-16 00:00:00
471,2,3940,2013-09-16 00:00:00
472,3,3386,2013-09-18 00:00:00
473,3,3822,2013-09-18 00:00:00
474,3,3518,2013-09-18 00:00:00
475,3,3587,2013-09-18 00:00:00
476,3,2863,2013-09-18 00:00:00
477,3,3776,2013-09-18 00:00:00
478,3,3680,2013-09-18 00:00:00
479,3,3955,2013-09-18 00:00:00
480,3,2577,2013-09-18 00:00:00
481,3,3576,2013-09-18 00:00:00
482,2,3501,2013-09-20 00:00:00
483,2,2633,2013-09-20 00:00:00
484,2,3921,2013-09-20 00:00:00
485,2,3936,2013-09-20 00:00:00
486,2,3935,2013-09-20 00:00:00
487,2,3919,2013-09-20 00:00:00
488,5,2846,2013-09-21 00:00:00
489,5,3299,2013-09-21 00:00:00
490,5,3514,2013-09-21 00:00:00
491,5,2950,2013-09-21 00:00:00
492,5,3053,2013-09-21 00:00:00
493,5,3286,2013-09-21 00:00:00
494,5,2619,2013-09-21 00:00:00
495,5,3804,2013-09-21 00:00:00
496,5,3656,2013-09-21 00:00:00
497,5,3388,2013-09-21 00:00:00
498,5,3546,2013-09-21 00:00:00
499,5,3425,2013-09-21 00:00:00
